lhgr,fuel_radius,gap_size,clad_thickness,coolant_temperature,time,volAverage(T),volAverage(Bu)
23333.3,0.0045,0.00011,0.001,563.1,8126047.627080795,1017.784,3313.099
23333.3,0.0045,0.00011,0.001,563.1,8371317.900195483,1017.201,3413.099
23333.3,0.0045,0.00011,0.001,563.1,8616588.17331017,1016.645,3513.099
23333.3,0.0045,0.00011,0.001,563.1,8861858.446424857,1016.114,3613.099
23333.3,0.0045,0.00011,0.001,563.1,9107128.719539544,1015.606,3713.099
23333.3,0.0045,0.00011,0.001,563.1,9352398.99265423,1015.12,3813.099
23333.3,0.0045,0.00011,0.001,563.1,9597669.265768917,1014.655,3913.099
23333.3,0.0045,0.00011,0.001,563.1,9842939.538883604,1014.211,4013.099
23333.3,0.0045,0.00011,0.001,563.1,10088209.811998291,1013.785,4113.099
23333.3,0.0045,0.00011,0.001,563.1,10333480.08511298,1013.378,4213.099
23333.3,0.0045,0.00011,0.001,563.1,10578750.358227668,1012.988,4313.099
23333.3,0.0045,0.00011,0.001,563.1,10824020.631342357,1012.614,4413.099
23333.3,0.0045,0.00011,0.001,563.1,11069290.904457046,1012.257,4513.099
23333.3,0.0045,0.00011,0.001,563.1,11314561.177571734,1011.914,4613.099
23333.3,0.0045,0.00011,0.001,563.1,11559831.450686423,1011.586,4713.099
23333.3,0.0045,0.00011,0.001,563.1,11805101.723801112,1011.272,4813.099
23333.3,0.0045,0.00011,0.001,563.1,12050371.9969158,1010.976,4913.099
23333.3,0.0045,0.00011,0.001,563.1,12295642.27003049,1011.283,5013.099
23333.3,0.0045,0.00011,0.001,563.1,12540912.543145178,1011.589,5113.099
23333.3,0.0045,0.00011,0.001,563.1,12786182.816259867,1011.897,5213.099
23333.3,0.0045,0.00011,0.001,563.1,13031453.089374555,1012.118,5313.099
23333.3,0.0045,0.00011,0.001,563.1,13276723.362489244,1012.108,5413.099
23333.3,0.0045,0.00011,0.001,563.1,13521993.635603933,1012.098,5513.099
23333.3,0.0045,0.00011,0.001,563.1,13767263.908718621,1012.088,5613.099
23333.3,0.0045,0.00011,0.001,563.1,14012534.18183331,1012.08,5713.099
23333.3,0.0045,0.00011,0.001,563.1,14257804.454947999,1012.071,5813.099
23333.3,0.0045,0.00011,0.001,563.1,14503074.728062687,1012.063,5913.099
23333.3,0.0045,0.00011,0.001,563.1,14748345.001177376,1012.055,6013.099
23333.3,0.0045,0.00011,0.001,563.1,14993615.274292065,1012.048,6113.099
23333.3,0.0045,0.00011,0.001,563.1,15238885.547406754,1012.041,6213.099
23333.3,0.0045,0.00011,0.001,563.1,15484155.820521442,1012.034,6313.099
23333.3,0.0045,0.00011,0.001,563.1,15729426.09363613,1012.028,6413.099
23333.3,0.0045,0.00011,0.001,563.1,15974696.36675082,1012.021,6513.099
23333.3,0.0045,0.00011,0.001,563.1,16219966.639865508,1012.016,6613.099
23333.3,0.0045,0.00011,0.001,563.1,16465236.912980197,1012.01,6713.099
23333.3,0.0045,0.00011,0.001,563.1,16710507.186094886,1012.005,6813.099
23333.3,0.0045,0.00011,0.001,563.1,16955777.459209573,1012.0,6913.099
23333.3,0.0045,0.00011,0.001,563.1,17201047.73232426,1011.995,7013.099
23333.3,0.0045,0.00011,0.001,563.1,17446318.00543895,1011.99,7113.099
23333.3,0.0045,0.00011,0.001,563.1,17691588.27855364,1011.985,7213.099
23333.3,0.0045,0.00011,0.001,563.1,17936858.551668327,1011.981,7313.099
23333.3,0.0045,0.00011,0.001,563.1,18182128.824783016,1011.977,7413.099
23333.3,0.0045,0.00011,0.001,563.1,18427399.097897705,1011.973,7513.099
23333.3,0.0045,0.00011,0.001,563.1,18672669.371012393,1011.969,7613.099
23333.3,0.0045,0.00011,0.001,563.1,18917939.644127082,1011.965,7713.099
23333.3,0.0045,0.00011,0.001,563.1,19163209.91724177,1011.961,7813.099
23333.3,0.0045,0.00011,0.001,563.1,19408480.19035646,1011.958,7913.099
23333.3,0.0045,0.00011,0.001,563.1,19653750.46347115,1011.954,8013.099
23333.3,0.0045,0.00011,0.001,563.1,19899020.736585837,1011.951,8113.099
23333.3,0.0045,0.00011,0.001,563.1,20144291.009700526,1011.947,8213.099
23333.3,0.0045,0.00011,0.001,563.1,20389561.282815214,1011.944,8313.099
23333.3,0.0045,0.00011,0.001,563.1,20634831.555929903,1011.94,8413.099
23333.3,0.0045,0.00011,0.001,563.1,20880101.82904459,1011.937,8513.099
23333.3,0.0045,0.00011,0.001,563.1,21125372.10215928,1011.934,8613.099
23333.3,0.0045,0.00011,0.001,563.1,21370642.37527397,1011.93,8713.099
23333.3,0.0045,0.00011,0.001,563.1,21615912.648388658,1011.927,8813.099
23333.3,0.0045,0.00011,0.001,563.1,21861182.921503346,1011.924,8913.099
23333.3,0.0045,0.00011,0.001,563.1,22106453.194618035,1011.92,9013.099
23333.3,0.0045,0.00011,0.001,563.1,22351723.467732724,1011.917,9113.099
23333.3,0.0045,0.00011,0.001,563.1,22596993.740847412,1011.913,9213.099
23333.3,0.0045,0.00011,0.001,563.1,22842264.0139621,1011.91,9313.099
23333.3,0.0045,0.00011,0.001,563.1,23087534.28707679,1011.906,9413.099
23333.3,0.0045,0.00011,0.001,563.1,23332804.56019148,1011.903,9513.099
23333.3,0.0045,0.00011,0.001,563.1,23578074.833306167,1011.899,9613.099
23333.3,0.0045,0.00011,0.001,563.1,23823345.106420856,1011.895,9713.099
23333.3,0.0045,0.00011,0.001,563.1,24068615.379535545,1011.891,9813.099
23333.3,0.0045,0.00011,0.001,563.1,24313885.652650233,1011.887,9913.099
23333.3,0.0045,0.00011,0.001,563.1,24559155.925764922,1011.883,10013.1
23333.3,0.0045,0.00011,0.001,563.1,24804426.19887961,1011.879,10113.1
23333.3,0.0045,0.00011,0.001,563.1,25049696.4719943,1011.875,10213.1
23333.3,0.0045,0.00011,0.001,563.1,25294966.745108988,1011.87,10313.1
23333.3,0.0045,0.00011,0.001,563.1,25540237.018223677,1011.866,10413.1
23333.3,0.0045,0.00011,0.001,563.1,25785507.291338366,1011.861,10513.1
23333.3,0.0045,0.00011,0.001,563.1,26030777.564453054,1011.856,10613.1
23333.3,0.0045,0.00011,0.001,563.1,26276047.837567743,1011.851,10713.1
23333.3,0.0045,0.00011,0.001,563.1,26521318.11068243,1011.846,10813.1
23333.3,0.0045,0.00011,0.001,563.1,26766588.38379712,1011.841,10913.1
23333.3,0.0045,0.00011,0.001,563.1,27011858.65691181,1011.835,11013.1
23333.3,0.0045,0.00011,0.001,563.1,27257128.930026498,1011.83,11113.1
23333.3,0.0045,0.00011,0.001,563.1,27502399.203141186,1011.824,11213.1
23333.3,0.0045,0.00011,0.001,563.1,27747669.476255875,1011.818,11313.1
23333.3,0.0045,0.00011,0.001,563.1,27992939.749370564,1011.812,11413.1
23333.3,0.0045,0.00011,0.001,563.1,28238210.022485252,1011.805,11513.1
23333.3,0.0045,0.00011,0.001,563.1,28483480.29559994,1011.799,11613.1
23333.3,0.0045,0.00011,0.001,563.1,28728750.56871463,1011.792,11713.1
23333.3,0.0045,0.00011,0.001,563.1,28974020.84182932,1011.785,11813.1
23333.3,0.0045,0.00011,0.001,563.1,29219291.114944007,1011.778,11913.1
23333.3,0.0045,0.00011,0.001,563.1,29464561.388058696,1011.77,12013.1
23333.3,0.0045,0.00011,0.001,563.1,29709831.661173385,1011.763,12113.1
23333.3,0.0045,0.00011,0.001,563.1,29955101.934288073,1011.755,12213.1
23333.3,0.0045,0.00011,0.001,563.1,30200372.207402762,1011.747,12313.1
23333.3,0.0045,0.00011,0.001,563.1,30445642.48051745,1011.739,12413.1
